Schoolid	City	CHASEYEAR	SUMIntersection	NbrTrafSignals	NbrCrossingGuard	NbrSchools	ShapeAreakm	Highwaykm	MinorRoadkm	MajorRoadkm	roadcovkm	SumComkm	SumGouvkm	SumOpenAreakm	SumParkkm	SumReskm	SumIndkm	ISPH1116	OPDbPC60Less	Pop2016	Pop2011	STDMulti	SUMOneway	BikeClass01	BikeClass02	BikeClass03	BikeClassAll	AG112	AG117	AG012	AG017	NbrRaisedCrosswalk	SpeedHumpkm	NbrTrafficCircles	NbrMidBlockNarrowings	NbrCurbExtension	NbrDiverter	NbrCrosswalk	NbrFlashingCrosswalk	NbrSpeedActivatedSign
"SUR121"	"SUR"	2019.0	22.0	0.0	0.0	1.0	0.578770817		3.576245099	1.975001707		0.044321981	0.109824164	0.001243044	0.017166263	0.406215375		324.6152858	85.14616698	3973.777349	3604.886087	600.334514		0.0	0.660141123	0.11108027	0.771221393	638.7566274	900.6130886	686.3133715	948.1698327	0.0		3.0	0.0	0.0	0.0	0.0	0.0	0.0
"SUR123"	"SUR"	2019.0	61.0	6.0	0.0	2.0	1.16468216		9.870308594	4.268679848			0.137557372	0.024789688	0.034616108	0.967719031		602.0265867	59.6854185	5987.314641	6089.770293	1068.537696		0.0	0.447361472	3.567700201	4.015061673	879.8784346	1280.584493	951.8834488	1352.589507	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0
"SUR125"	"SUR"	2019.0	54.0	6.0	0.0	1.0	1.184603283		8.698906347	4.242298681		3.89229E-5	0.056227386	0.015049402	0.046420055	1.066867524		474.2607797	230.1607052	6489.04088	6398.177212	1794.297335		0.0	0.804874732	2.140571465	2.945446197	807.8335859	1161.375171	871.2422147	1224.7838	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0
"SUR127"	"SUR"	2019.0	123.0	7.0	0.0	3.0	8.154515997	4.531042201	23.90797248	17.66551266	46.10452734			4.159716434	0.042647226	3.946383506		372.6648019	53.41370627	6641.328242	6645.850703	851.4536283		0.0	8.890866378	9.437808076	18.32867445	879.0228309	1389.583529	936.9441508	1447.504849	0.0	0.859898895	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"SUR128"	"SUR"	2019.0	70.0	2.0	0.0	1.0	3.867778174		11.29691479	3.228680293				2.954507688	2.68653E-4	0.912904935		231.5160057	13.00453533	5287.523974	4339.837194	578.3371172		0.0	2.946387336	2.816189314	5.76257665	1000.045865	1414.844222	1066.441217	1481.239573	0.0	0.377027952	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"SUR129"	"SUR"	2019.0	58.0	2.0	0.0	2.0	1.257171655		8.287692993	5.157218736			0.032964369	0.038584216	0.071013922	0.84701311	0.267596049	575.8925389	86.49479401	6283.312146	5831.745354	1012.71057		0.0	1.530903552	0.306024724	1.836928276	910.4795255	1386.573152	982.8672206	1458.960847	0.0		1.0	0.0	0.0	0.0	0.0	0.0	0.0
"SUR13"	"SUR"	2019.0	189.0	10.0	0.0	1.0	6.813315094		28.75736539	17.43087839		0.106642127		2.599153528	0.168550111	3.362571713	0.576397618	204.1577969	73.26756031	9675.021515	7591.657293	1160.618636		0.0	2.014458838	10.24224496	12.2567038	1511.540144	2030.246511	1638.457691	2157.164057	0.0	0.431238458	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"SUR130"	"SUR"	2019.0	91.0	7.0	0.0	3.0	1.203398358		10.56353533	4.408667243		8.75397E-5		0.038066671	8.66205E-5	1.165157519		1001.808717	9.954750953	7590.255688	7826.32906	1838.132993		0.0	0.77179758	1.789978701	2.561776281	1201.037494	1654.44121	1300.605767	1754.009482	2.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0
"SUR131"	"SUR"	2019.0	52.0	1.0	0.0	1.0	1.012115037		8.644753041	3.343633359				0.029932814		0.982182228		91.82005937	30.43493264	3879.37231	4026.281697	417.4215775		0.0	1.017859825	1.711442307	2.729302131	424.0816921	633.9657525	459.2432261	669.1272865	0.0	2.17272252	1.0	0.0	0.0	0.0	0.0	0.0	0.0
"SUR132"	"SUR"	2019.0	42.0	2.0	0.0	1.0	0.804584951		8.667487972	1.464759763			0.031854915	0.003533037	6.25115E-5	0.769134454		434.147178	190.7559786	4375.2044	4204.732079	865.3966696		0.0	1.00130587	0.815454931	1.816760801	603.036734	873.8449246	661.4652737	932.2734642	2.0	0.194525063	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"SUR133"	"SUR"	2019.0	170.0	9.0	0.0	2.0	4.150165542	3.247991542	23.33506254	15.13236673	41.71542082			0.494188539	0.056228273	2.912431938	0.68731676	365.3601526	557.6721381	6107.673661	5504.076745	1229.817556		0.781415396	2.626936992	3.562453249	6.970805637	762.221495	1074.677178	811.7805048	1124.236188	2.0		1.0	0.0	0.0	0.0	0.0	0.0	0.0
"SUR136"	"SUR"	2019.0	68.0	3.0	0.0	1.0	0.897260379		7.961920524	4.429289742				0.027977362		0.869283013		339.2032523	17.65849317	4522.514912	3967.490436	664.9200991		0.0	1.214764268	2.727826481	3.942590749	712.4580188	1010.343305	777.8625614	1075.747848	0.0	0.294298165	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"SUR137"	"SUR"	2019.0	90.0	1.0	0.0	1.0	1.86645961		14.72677186	5.549858236			4.84549E-8	0.348207526		1.506850679		149.9261672	63.75123976	4309.7422	4312.921434	224.9100567		0.415400924	0.858773285	0.912079272	2.186253481	566.4613619	823.6521156	587.1187041	844.3094578	1.0	0.246516523	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"SUR14"	"SUR"	2019.0	142.0	3.0	0.0	1.0	1.795680329		24.03276868	6.474514805			0.02873462	0.057037968	0.013504366	1.64937787	0.018369437	197.0006155	563.6728674	10095.70108	9593.447164	4816.905845		0.0	0.0	0.104925232	0.104925232	496.0091575	763.2002449	529.9676714	797.1587589	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0
"SUR140"	"SUR"	2019.0	74.0	5.0	0.0	1.0	3.803986068		13.0498099	9.050837725				2.497403036	0.00143318	1.294810578	0.004193407	105.4410907	10.64958453	2946.436197	2802.22782	244.3443357		0.0	2.009794361	6.242982881	8.252777242	430.5369072	632.2186822	458.0244564	659.7062314	0.0	0.910850725	1.0	0.0	0.0	0.0	0.0	0.0	0.0
"SUR141"	"SUR"	2019.0	171.0	9.0	0.0	3.0	4.237175076		24.3477417	12.43803288			0.061701378	1.685093779	0.145520426	2.344564902		200.0577651	157.1681165	6754.076202	6472.913099	651.533027		0.0	1.806469831	5.425702928	7.232172758	1003.939458	1421.220427	1076.844386	1494.125354	1.0	1.262817779	1.0	0.0	0.0	0.0	0.0	0.0	0.0
